,Ticker,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Period13,Period14,Period15
0,PYQF,428.09,425.95,446.17,423.83,432.56,433.8,431.66,442.66,442.45,438.24,434.26,438.63,442.61,453.61,423.14
1,QCQ,294.13,296.52,309.96,294.35,296.31,292.59,303.23,302.84,295.9,295.7,290.29,302.32,302.26,304.28,318.46
2,QFJ,296.29,296.21,292.36,293.65,297.53,304.07,290.76,294.77,289.02,297.74,294.92,287.59,300.91,304.45,298.9
3,QMEK,78.25,74.49,73.8,74.04,95.34,89.88,86.32,79.67,89.96,74.79,86.51,77.7,75.33,90.91,76.88
4,QOS,189.03,187.38,191.62,187.83,194.12,202.21,199.82,203.52,192.18,193.88,196.27,189.87,195.12,190.05,192.99
5,RKGI,148.65,144.76,148.17,155.89,158.45,154.91,163.94,159.55,157.91,165.13,157.91,162.85,169.94,164.87,163.64
6,RLL,219.9,212.19,220.3,227.7,225.56,233.04,229.04,208.12,224.27,224.54,222.18,216.58,229.75,221.67,237.82
7,RSD,75.85,77.51,83.56,72.71,89.49,86.83,77.09,84.5,86.52,83.81,88.04,85.36,91.74,92.41,89.65
8,RYV,118.01,129.22,112.48,117.04,113.95,116.45,117.5,119.18,111.79,121.39,121.75,119.58,123.9,126.21,126.98
9,SCYQ,121.72,116.8,121.65,138.83,130.95,128.13,122.85,126.08,130.59,123.6,130.75,127.89,135.22,130.49,133.7
10,SDXX,252.86,251.69,246.8,259.14,266.72,257.61,256.53,265.19,258.46,270.64,252.8,266.73,258.72,264.28,268.48
11,SEZ,143.08,148.37,144.95,158.87,164.96,146.2,146.32,162.21,153.88,152.2,153.46,157.14,145.84,154.62,151.8
12,SFH,165.0,175.91,175.61,177.2,167.61,168.21,152.12,150.92,150.88,153.55,157.49,163.51,166.85,168.16,172.44
13,SIMV,77.04,70.17,89.46,75.98,83.83,82.11,85.69,84.6,84.77,83.24,90.08,89.59,86.0,85.3,72.68
14,SJW,104.77,110.43,113.72,120.3,128.71,116.83,121.42,121.85,131.26,119.64,121.87,118.08,123.58,117.29,115.57
15,SLSH,216.39,212.81,224.8,226.96,234.6,226.35,229.38,236.65,237.84,234.47,242.86,235.81,234.97,218.07,233.69
16,SZZX,169.97,180.92,164.19,178.32,163.5,177.28,163.0,165.2,177.2,173.32,177.31,183.16,176.37,177.96,181.78
17,TLC,139.06,133.56,145.8,137.68,144.3,145.3,139.35,138.42,135.7,143.83,141.74,132.09,135.88,130.85,140.88
18,TLXI,76.45,79.4,81.05,89.94,81.09,78.61,77.61,71.78,83.11,80.69,81.22,76.41,84.65,79.57,92.1
19,UOO,192.13,191.95,200.32,195.03,213.21,202.28,206.73,198.21,192.86,198.7,197.13,203.0,212.95,205.22,208.92
