,Ticker,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Period13,Period14,Period15
0,ACA,255.49,251.08,248.76,258.02,252.0,263.2,254.47,245.5,250.63,254.25,260.89,265.11,255.74,258.4,267.64
1,AEWO,200.31,203.04,207.63,197.63,199.1,201.0,210.59,204.88,205.02,206.63,209.97,209.08,209.05,211.72,207.4
2,ATQ,210.16,209.81,205.83,221.34,204.04,215.87,207.86,210.13,213.58,208.04,212.47,220.32,215.67,212.76,219.1
3,BEK,186.48,192.29,197.14,181.38,204.34,191.33,187.86,186.68,192.19,192.2,185.71,182.27,168.08,183.92,190.24
4,BRVO,142.48,138.21,151.39,137.25,156.45,144.59,150.32,150.15,139.58,150.66,144.3,164.64,172.25,149.21,149.39
5,CLGM,81.78,83.13,77.1,79.14,83.95,85.74,84.02,91.58,86.73,90.09,90.6,89.04,83.7,81.34,87.55
6,CRH,279.68,272.75,281.1,275.63,282.19,276.37,280.37,274.81,281.58,287.59,285.9,274.42,280.98,287.58,291.06
7,CUF,242.84,245.09,235.29,247.37,236.81,237.0,243.8,244.93,249.29,244.55,247.37,247.96,237.95,246.71,245.52
8,DQT,134.32,142.2,145.75,147.67,138.78,147.57,153.31,143.89,152.77,164.94,153.69,150.27,145.65,143.1,142.28
9,DXRJ,120.07,116.79,126.19,118.37,124.19,111.61,130.88,122.99,118.69,123.9,118.42,135.71,128.11,125.5,120.55
10,EEG,60.4,64.19,68.61,69.56,70.62,77.17,63.2,66.47,57.24,59.3,69.56,64.59,66.09,62.81,73.15
11,END,114.53,127.93,126.37,114.46,121.02,108.31,106.24,111.43,116.68,112.33,110.86,113.56,113.87,114.85,112.05
12,FCM,97.42,91.3,109.91,101.92,109.61,108.0,104.54,106.1,107.9,105.53,101.92,111.27,97.32,112.98,118.95
13,FLSL,235.21,248.15,239.79,241.68,240.43,229.82,238.25,244.26,233.13,236.69,245.68,241.55,238.53,238.85,228.94
14,FMQV,126.36,123.96,128.15,126.91,134.24,135.25,135.69,135.04,130.24,135.25,135.22,134.82,135.65,134.88,134.59
15,FQW,178.38,170.06,186.39,189.96,178.93,176.79,177.98,176.63,185.73,180.66,178.3,190.73,173.74,183.1,183.38
16,GDGA,129.23,142.26,143.32,126.71,144.05,136.07,139.2,142.37,127.63,123.42,130.34,140.95,140.69,141.01,143.05
17,GJD,204.51,209.49,214.44,227.44,228.28,239.01,253.05,257.47,278.34,284.45,286.33,286.85,283.19,287.53,301.79
18,HKMB,174.28,174.42,178.42,168.83,172.14,180.29,177.85,174.33,175.39,182.69,178.34,177.94,179.11,186.64,178.13
